,path,valeur moyenne (centre),valeur max (centre),valeur min (centre),valeur moyenne (cote),valeur max (cote),valeur min (cote)
0,Brebis 7 (40560)\J-7\,,,,,,
1,Brebis 7 (40560)\J-7\,477.2505798339844,606.0,395.0,376.6839599609375,598.0,205.0
2,Brebis 7 (40560)\J-7\,395.18994140625,579.0,198.0,477.2072448730469,653.0,331.0
3,Brebis 7 (40560)\J-7\,416.4800109863281,534.0,300.0,393.19976806640625,612.0,149.0
4,Brebis 7 (40560)\J-7\,595.2902221679688,889.0,353.0,381.9478454589844,510.0,263.0
5,Brebis 7 (40560)\J-7\,803.48046875,1728.0,335.0,503.7669677734375,789.0,272.0
6,Brebis 7 (40560)\J-7\,808.6817626953125,1992.0,493.0,495.99261474609375,718.0,130.0
7,Brebis 8 (40141)\J-7\,,,,,,
8,Brebis 8 (40141)\J-7\,450.5574645996094,674.0,206.0,319.2955322265625,460.0,150.0
9,Brebis 8 (40141)\J-7\,377.924560546875,792.0,1.0,268.4152526855469,654.0,1.0
10,Brebis 8 (40141)\J-7\,398.78094482421875,914.0,1.0,300.0560607910156,2167.0,1.0
11,Brebis 8 (40141)\J-7\,562.1280517578125,1093.0,285.0,311.30364990234375,471.0,1.0
12,Brebis 8 (40141)\J-7\,538.3345947265625,785.0,98.0,316.3722229003906,1091.0,45.0
13,Brebis 8 (40141)\J-7\,298.4706726074219,734.0,1.0,345.6628723144531,1856.0,1.0
14,Brebis 8 (40141)\J-7\,459.39312744140625,811.0,1.0,411.97747802734375,766.0,1.0
15,Brebis 9 (40295)\J-7\,,,,,,
16,Brebis 9 (40295)\J-7\,544.666015625,731.0,186.0,382.62713623046875,644.0,94.0
17,Brebis 9 (40295)\J-7\,432.9967956542969,809.0,169.0,312.9101867675781,536.0,1.0
18,Brebis 9 (40295)\J-7\,471.3595275878906,987.0,86.0,374.09442138671875,817.0,103.0
19,Brebis 9 (40295)\J-7\,517.0958862304688,988.0,272.0,396.6046447753906,539.0,157.0
20,Brebis 9 (40295)\J-7\,546.658935546875,969.0,133.0,398.3206481933594,675.0,174.0
21,Brebis 9 (40295)\J-7\,667.6216430664062,1004.0,279.0,515.6956176757812,950.0,275.0
22,Brebis 9 (40295)\J-7\,740.412841796875,1097.0,486.0,500.7543029785156,706.0,1.0
